league,team_name,team_name_map
International,Afghanistan,Afghanistan
International,Argentina,Argentina
International,Austria,Austria
International,Bahrain,Bahrain
International,Bangladesh,Bangladesh
Caribbean Premier League (CPL),Barbados,Barbados
International,Belgium,Belgium
International,Belize,Belize
International,Bermuda,Bermuda
International,Bhutan,Bhutan
International,Botswana,Botswana
International,Brazil,Brazil
International,Bulgaria,Bulgaria
International,Cambodia,Cambodia
International,Canada,Canada
International,Cayman Islands,Cayman Islands
International,Chile,Chile
International,China,China
International,Cook Islands,Cook Islands
International,Costa Rica,Costa Rica
International,Croatia,Croatia
International,Cyprus,Cyprus
International,Czech Republic,Czech Republic
International,Denmark,Denmark
International,Eswatini,Eswatini
International,Estonia,Estonia
International,Fiji,Fiji
International,Finland,Finland
International,France,France
International,Gambia,Gambia
International,Germany,Germany
International,Ghana,Ghana
International,Gibraltar,Gibraltar
International,Greece,Greece
International,Guernsey,Guernsey
International,Hong Kong,Hong Kong
International,Hungary,Hungary
International,Indonesia,Indonesia
International,Iran,Iran
International,Ireland,Ireland
International,Israel,Israel
International,Italy,Italy
Caribbean Premier League (CPL),Jamaica,Jamaica
International,Japan,Japan
International,Jersey,Jersey
International,Kenya,Kenya
International,Kuwait,Kuwait
International,Luxembourg,Luxembourg
International,Malaysia,Malaysia
International,Mali,Mali
International,Malta,Malta
International,Mexico,Mexico
International,Mongolia,Mongolia
International,Mozambique,Mozambique
International,Myanmar,Myanmar
International,Namibia,Namibia
International,Nepal,Nepal
International,Netherlands,Netherlands
International,New Zealand,New Zealand
International,Nigeria,Nigeria
International,Norway,Norway
International,Oman,Oman
International,Pakistan,Pakistan
International,Panama,Panama
International,Papua New Guinea,Papua New Guinea
International,Philippines,Philippines
International,Portugal,Portugal
International,Qatar,Qatar
International,Romania,Romania
International,Rwanda,Rwanda
International,Samoa,Samoa
International,Saudi Arabia,Saudi Arabia
International,Scotland,Scotland
International,Seychelles,Seychelles
International,Sierra Leone,Sierra Leone
International,Singapore,Singapore
International,Slovenia,Slovenia
International,South Africa,South Africa
International,South Korea,South Korea
International,Spain,Spain
International,Sri Lanka,Sri Lanka
International,St Helena,St Helena
International,Suriname,Suriname
International,Swaziland,Swaziland
International,Sweden,Sweden
International,Switzerland,Switzerland
International,Tanzania,Tanzania
International,Thailand,Thailand
Caribbean Premier League (CPL),Trinidad and Tobago,Trinidad and Tobago
International,Turkey,Turkey
International,Uganda,Uganda
International,United Arab Emirates,United Arab Emirates
International,United States of America,United States of America
International,Vanuatu,Vanuatu
International,West Indies,West Indies
International,Zambia,Zambia
International,Zimbabwe,Zimbabwe
Indian Premier League (IPL),Chennai Super Kings,Chennai Super Kings
Indian Premier League (IPL),Delhi Capitals,Delhi Capitals
Indian Premier League (IPL),Gujarat Titans,Gujarat Titans
Indian Premier League (IPL),Kolkata Knight Riders,Kolkata Knight Riders
Indian Premier League (IPL),Lucknow Super Giants,Lucknow Super Giants
Indian Premier League (IPL),Mumbai Indians,Mumbai Indians
Indian Premier League (IPL),Punjab Kings,Punjab Kings
Indian Premier League (IPL),Rajasthan Royals,Rajasthan Royals
Indian Premier League (IPL),Royal Challengers Bangalore,Royal Challengers Bangalore
Indian Premier League (IPL),Sunrisers Hyderabad,Sunrisers Hyderabad
Indian Premier League (IPL),Rising Pune Supergiant,Rising Pune Supergiant
Indian Premier League (IPL),Deccan Chargers,Deccan Chargers
Indian Premier League (IPL),Kochi Tuskers Kerala,Kochi Tuskers Kerala
Big Bash League (BBL),Adelaide Strikers,Adelaide Strikers
Big Bash League (BBL),Brisbane Heat,Brisbane Heat
Big Bash League (BBL),Hobart Hurricanes,Hobart Hurricanes
Big Bash League (BBL),Melbourne Renegades,Melbourne Renegades
Big Bash League (BBL),Melbourne Stars,Melbourne Stars
Big Bash League (BBL),Perth Scorchers,Perth Scorchers
Big Bash League (BBL),Sydney Sixers,Sydney Sixers
Big Bash League (BBL),Sydney Thunder,Sydney Thunder
Pakistan Super League (PSL),Islamabad United,Islamabad United
Pakistan Super League (PSL),Karachi Kings,Karachi Kings
Pakistan Super League (PSL),Lahore Qalandars,Lahore Qalandars
Pakistan Super League (PSL),Multan Sultans,Multan Sultans
Pakistan Super League (PSL),Peshawar Zalmi,Peshawar Zalmi
Pakistan Super League (PSL),Quetta Gladiators,Quetta Gladiators
Caribbean Premier League (CPL),Barbados Royals,Barbados Royals
