venue,ground,city,country
Mainpower Oval,Mainpower Oval,Rangiora,New Zealand
"St George's Park, Port Elizabeth",St George's Park,Port Elizabeth,South Africa
"Kingsmead, Durban",Kingsmead,Durban,South Africa
Sydney Cricket Ground,Sydney Cricket Ground,Sydney,Australia
Bay Oval,Bay Oval,Mount Maunganui,New Zealand
Basin Reserve,Basin Reserve,Wellington,New Zealand
Kingsmead,Kingsmead,Durban,South Africa
"Mission Road Ground, Mong Kok",Mission Road Ground,Mong Kok,Hong Kong
"Simonds Stadium, South Geelong",Simonds Stadium,South Geelong,Australia
Canterbury Park,Canterbury Park,Canterbury,England
Cobham Oval,Cobham Oval,Whangarei,New Zealand
JSCA International Stadium Complex,JSCA International Stadium Complex,Ranchi,India
"Queen's Park Oval, Port of Spain",Queen's Park Oval,Port of Spain,Trinidad and Tobago
Sinhalese Sports Club Ground,Sinhalese Sports Club Ground,Colombo,Sri Lanka
"Edgbaston, Birmingham",Edgbaston,Birmingham,England
"County Ground, Hove",County Ground,Hove,England
"Sabina Park, Kingston",Sabina Park,Kingston,Jamaica
"The Vineyard, Dublin",The Vineyard,Dublin,Ireland
"Windsor Park, Roseau",Windsor Park,Roseau,Dominica
"Simonds Stadium, South Geelong, Victoria",Simonds Stadium,"South Geelong, Victoria",Australia
Sylhet International Cricket Stadium,Sylhet International Cricket Stadium,Sylhet,Bangladesh
"Sir Vivian Richards Stadium, Antigua",Sir Vivian Richards Stadium,"North Sound, Antigua",Antigua and Barbuda
"Bellerive Oval, Hobart",Bellerive Oval,Hobart,Australia
Arun Jaitley Stadium,Arun Jaitley Stadium,Delhi,India
"Karen Rolton Oval, Adelaide",Karen Rolton Oval,Adelaide,Australia
Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,India
United Cricket Club Ground,United Cricket Club Ground,Windhoek,Namibia
Brabourne Stadium,Brabourne Stadium,Mumbai,India
Kinrara Academy Oval,Kinrara Academy Oval,Kuala Lumpur,Malaysia
Royal Selangor Club,Royal Selangor Club,Kuala Lumpur,Malaysia
Kennington Oval,Kennington Oval,London,England
"North Marine Road Ground, Scarborough",North Marine Road Ground,Scarborough,England
College Ground,College Ground,Cheltenham,England
"Jade Stadium, Christchurch",Jade Stadium,Christchurch,New Zealand
"Goodyear Park, Bloemfontein",Goodyear Park,Bloemfontein,South Africa
"North West Cricket Stadium, Potchefstroom",North West Cricket Stadium,Potchefstroom,South Africa
"Boland Bank Park, Paarl",Boland Bank Park,Paarl,South Africa
"National Stadium, Karachi",National Stadium,Karachi,Pakistan
"MA Chidambaram Stadium, Chepauk, Chennai",MA Chidambaram Stadium,Chennai,India
"Captain Roop Singh Stadium, Gwalior",Captain Roop Singh Stadium,Gwalior,India
Brisbane Cricket Ground,Brisbane Cricket Ground,Brisbane,Australia
R.Premadasa Stadium,R.Premadasa Stadium,Colombo,Sri Lanka
"Basin Reserve, Wellington",Basin Reserve,Wellington,New Zealand
Bayer Uerdingen Cricket Ground,Bayer Uerdingen Cricket Ground,Krefeld,Germany
Stellenbosch University 2,Stellenbosch University 2,Stellenbosch,South Africa
Dr DY Patil Sports Academy,Dr DY Patil Sports Academy,Mumbai,India
OUTsurance Oval,OUTsurance Oval,Bloemfontein,South Africa
SSN College Ground,SSN College Ground,Chennai,India
Zahur Ahmed Chowdhury Stadium,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Albert Park 2,Albert Park 2,Suva,Fiji
Sportpark Het Schootsveld 2,Sportpark Het Schootsveld,Deventer,Netherlands
Hong Kong Cricket Club,Hong Kong Cricket Club,Hong Kong,Hong Kong
Indian Association Ground,Indian Association Ground,Singapore,Singapore
"Desert Springs Cricket Ground, Almeria",Desert Springs Cricket Ground,Almeria,Spain
"Sawai Mansingh Stadium, Jaipur",Sawai Mansingh Stadium,Jaipur,India
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
"International Sports Stadium, Coffs Harbour",International Sports Stadium,Coffs Harbour,Australia
Sheikh Abu Naser Stadium,Sheikh Abu Naser Stadium,Khulna,Bangladesh
"Dr DY Patil Sports Academy, Mumbai",Dr DY Patil Sports Academy,Mumbai,India
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Church of Ireland Young Men's Society Cricket Club Ground,Belfast,Northern Ireland
"Merrion Cricket Club Ground, Dublin",Merrion Cricket Club Ground,Dublin,Ireland
"UKM-YSD Cricket Oval, Bangi",UKM-YSD Cricket Oval,Bangi,Malaysia
"Meersen, Gent",Meersen,Gent,Belgium
"Cambusdoon New Ground, Ayr",Cambusdoon New Ground,Ayr,Scotland
Castle Avenue,Castle Avenue,Dublin,Ireland
Abu Dhabi Oval 1,Abu Dhabi Oval 1,Abu Dhabi,UAE
Jaffery Sports Club Ground,Jaffery Sports Club Ground,Nairobi,Kenya
Vidarbha Cricket Association Ground,Vidarbha Cricket Association Ground,Nagpur,India
Lochlands,Lochlands,Arbroath,Scotland
King George V Sports Ground,King George V Sports Ground,Castel,Guernsey
Bready,Bready Cricket Club,Magheramason,Northern Ireland
"Terdthai Cricket Ground, Bangkok",Terdthai Cricket Ground,Bangkok,Thailand
"P Sara Oval, Colombo",P Sara Oval,Colombo,Sri Lanka
"Solvangs Park, Glostrup",Solvangs Park,Glostrup,Denmark
The Rose Bowl (Nursery),The Rose Bowl (Nursery),Southampton,England
Nevill Ground,Nevill Ground,Tunbridge Wells,England
"Goldenacre, Edinburgh",Goldenacre,Edinburgh,Scotland
"Selangor Turf Club, Kuala Lumpur",Selangor Turf Club,Kuala Lumpur,Malaysia
"Woodley Cricket Field, Los Angeles",Woodley Cricket Field,Los Angeles,USA
Zhejiang University of Technology Cricket Field,Zhejiang University of Technology Cricket Field,Hangzhou,China
Subrata Roy Sahara Stadium,Subrata Roy Sahara Stadium,Pune,India
"Lords, St David's Cricket Club Ground","Lords, St David's Cricket Club Ground",St David's,Wales
FB Fields,FB Fields,St Clement,Jersey
Grainville,Grainville,St Saviour,Jersey
"Achimota Senior Secondary School A Field, Accra",Achimota Senior Secondary School A Field,Accra,Ghana
Dreux Sport Cricket Club,Dreux Sport Cricket Club,Dreux,France
Adelaide Oval No. 2,Adelaide Oval No. 2,Adelaide,Australia
Gliderol Stadium,Gliderol Stadium,Adelaide,Australia
"Gahanga B Ground, Rwanda",Gahanga B Ground,Rwanda,Rwanda
Moses Mabhida Stadium,Moses Mabhida Stadium,Durban,South Africa
"Darren Sammy National Cricket Stadium, Gros Islet",Darren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
"Old Edwardians Cricket Club Ground, Solihull",Old Edwardians Cricket Club Ground,Solihull,England
"Yeonhui Cricket Ground, Incheon",Yeonhui Cricket Ground,Incheon,South Korea
Asian Institute of Technology Ground,Asian Institute of Technology Ground,Bangkok,Thailand
Wankhede Stadium,Wankhede Stadium,Mumbai,India
Sydney Showground Stadium,Sydney Showground Stadium,Sydney,Australia
Hagley Oval,Hagley Oval,Christchurch,New Zealand
Bellerive Oval,Bellerive Oval,Hobart,Australia
Newlands,Newlands,Cape Town,South Africa
"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium,Hyderabad,India
Strathfieldsaye,Strathfieldsaye,Strathfieldsaye,Australia
"Sir Vivian Richards Stadium, North Sound",Sir Vivian Richards Stadium,"North Sound, Antigua",Antigua and Barbuda
University of Otago Oval,University of Otago Oval,Dunedin,New Zealand
